lncRNA,Disease,PubMed ID
MAGI2-AS3,"Carcinoma, Hepatocellular",30924168
MAGI2-AS3,"Carcinoma, Hepatocellular",31629962
MAGI2-AS3,"Carcinoma, Hepatocellular",32546442
MAGI2-AS3,"Carcinoma, Hepatocellular",34484334
MAGI2-AS3,Urinary Bladder Neoplasms,33231563
MAGI2-AS3,Urinary Bladder Neoplasms,33104021
MAGI2-AS3,Squamous Cell Carcinoma of Head and Neck,36401978
MAGI2-AS3,Nasopharyngeal carcinoma,32450008
MAGI2-AS3,Prostatic Neoplasms,35944561
MAGI2-AS3,Prostatic Neoplasms,34976194
MAGI2-AS3,"Carcinoma, Renal Cell",34002044
MAILR,"Leukemia, Myeloid, Acute",35319391
MAILR,"Leukemia, Myeloid, Acute",30959078
MAILR,"Carcinoma, Non-Small-Cell Lung",33116570
LINC02933,Breast Neoplasms,34557038
LINC02925,Glioblastoma,33991848
LINC00294,Glioma,32450002
LINC00665,lung non-small cell carcinoma,33664990
LINC00662,Breast Neoplasms,32558530
LINC00662,"Carcinoma, Non-Small-Cell Lung",33589572
LINC00662,"Carcinoma, Non-Small-Cell Lung",35371316
LINC00662,Esophageal Squamous Cell Carcinoma,32633082
LINC00662,Lung Neoplasms,33108738
LINC00662,Colorectal Neoplasms,31900207
LINC00662,"Carcinoma, Hepatocellular",31785055
LINC00662,Ovarian Neoplasms,32476381
LINC00662,Ovarian Neoplasms,34148056
LINC00662,Squamous Cell Carcinoma of Head and Neck,30705593
LINC00662,Squamous Cell Carcinoma of Head and Neck,34164962
LINC00662,Osteosarcoma,32848412
LINC00662,Osteosarcoma,34559955
LINC00662,Osteosarcoma,34621314
LINC00662,Osteosarcoma,35123530
LINC00662,Glioma,33116598
LINC00662,Prostatic Neoplasms,31114993
LINC00662,Prostatic Neoplasms,33377712
LINC00663,Glioma,33830405
LINC00665,Melanoma,33247967
LINC00659,Stomach Neoplasms,34084224
LINC00667,Breast Neoplasms,36700472
LINC00667,"Carcinoma, Non-Small-Cell Lung",32281700
LINC00667,"Carcinoma, Hepatocellular",34907204
LINC00667,Esophageal Neoplasms,34313922
LINC00667,Cholangiocarcinoma,33040228
LINC00665,Stomach Neoplasms,31695413
LINC00665,Breast Neoplasms,32271427
LINC00665,"Carcinoma, Non-Small-Cell Lung",32403047
LINC00665,Ovarian Neoplasms,35524876
LINC00665,Osteosarcoma,34306997
LINC00665,Osteosarcoma,36387061
LINC00665,Uterine Cervical Neoplasms,33903885
LINC00665,Glioma,33650673
LINC00665,Glioma,35702084
LINC00665,Adenocarcinoma of Lung,30692511
LINC00665,Adenocarcinoma of Lung,34232917
LINC00665,Adenocarcinoma of Lung,34277412
LINC00665,Prostatic Neoplasms,32273723
LINC00659,Stomach Neoplasms,33145980
LINC00659,Stomach Neoplasms,35957833
LINC00525,spinal chordoma,33370717
LINC00623,Pancreatic Neoplasms,35978332
LINC00612,Urinary Bladder Neoplasms,30940184
LINC00612,Osteosarcoma,32311343
LINC00607,Osteosarcoma,33585204
LINC00607,Thyroid Neoplasms,34232553
LINC00589,Stomach Neoplasms,36126899
LINC00589,Breast Neoplasms,31646574
LINC00589,"Carcinoma, Non-Small-Cell Lung",31601776
LINC00589,Glioma,30387847
LINC00589,Pancreatic Neoplasms,32951177
LINC00588,Osteosarcoma,32265694
LINC00578,Pancreatic Neoplasms,30210701
LINC00551,Esophageal Neoplasms,32677057
LINC00536,Urinary Bladder Neoplasms,30851243
LINC00526,Glioma,31240814
LINC00526,Glioma,33613672
LINC00525,Colorectal Neoplasms,35156520
LINC00619,Osteosarcoma,33797312
LINC00624,Liver Neoplasms,32869873
LINC00659,Colorectal Neoplasms,33407563
LINC00628,Osteosarcoma,30280767
LINC00649,Stomach Neoplasms,33975517
LINC00649,Triple Negative Breast Neoplasms,35188449
LINC00649,lung squamous cell carcinoma,35228660
LINC00645,Glioma,31558707
LINC00641,Breast Neoplasms,31490021
LINC00641,"Carcinoma, Non-Small-Cell Lung",31322545
LINC00641,"Carcinoma, Renal Cell",33853611
LINC00641,Osteosarcoma,35266447
LINC00641,"Leukemia, Myeloid, Acute",31539138
LINC00641,Prostatic Neoplasms,33506898
LINC00638,"Arthritis, Rheumatoid",34308844
LINC00638,"Arthritis, Rheumatoid",35545408
LINC00638,"Arthritis, Rheumatoid",35759235
LINC00632,Lung Neoplasms,32862599
LINC00632,Glioma,34099027
LINC00630,Cholangiocarcinoma,35154463
LINC00630,colon carcinoma,35273690
LINC00629,Stomach Neoplasms,31674022
LINC00668,lung squamous cell carcinoma,35477186
LINC00668,"Carcinoma, Hepatocellular",32249890
LINC00668,Colorectal Neoplasms,31233752
LINC00887,lung carcinoma,33376520
LINC00885,Breast Neoplasms,33049922
LINC00882,"Carcinoma, Hepatocellular",30271163
LINC00882,"Carcinoma, Hepatocellular",34513693
LINC00861,Uterine Cervical Neoplasms,33179755
LINC00858,Stomach Neoplasms,33112114
LINC00858,Stomach Neoplasms,33015780
LINC00858,Colorectal Neoplasms,30931636
LINC00858,Colorectal Neoplasms,32323793
LINC00858,Colorectal Neoplasms,31902050
LINC00858,Colonic Neoplasms,31884577
LINC00858,Colonic Neoplasms,32768499
LINC00858,"Carcinoma, Hepatocellular",33015775
LINC00858,Ovarian Neoplasms,32875345
LINC00858,Ovarian Neoplasms,34423728
LINC00858,Urinary Bladder Neoplasms,34132366
LINC00858,Uterine Cervical Neoplasms,34275889
LINC00857,Lung Neoplasms,33312753
LINC00857,Colorectal Neoplasms,36010849
LINC00857,"Carcinoma, Hepatocellular",35293286
LINC00886,laryngeal carcinoma,32111441
LINC00668,"Carcinoma, Non-Small-Cell Lung",31150989
LINC00887,"Carcinoma, Renal Cell",36060659
LINC00924,"Carcinoma, Hepatocellular",34997970
LINC00922,Stomach Neoplasms,35428261
LINC00922,Breast Neoplasms,33045317
LINC00922,Ovarian Neoplasms,34116704
LINC00922,Liver Neoplasms,34097192
LINC00922,Colorectal Cancer Liver Metastasis,33637680
LINC00921,Triple Negative Breast Neoplasms,35179718
LINC00920,"Carcinoma, Non-Small-Cell Lung",35137650
LINC00920,Colorectal Neoplasms,31791342
LINC00920,Prostatic Neoplasms,32646965
LINC00908,Colorectal Neoplasms,33020901
LINC00899,Breast Neoplasms,31739288
LINC00899,acute myeloid leukemia,32157707
LINC00891,Lung Neoplasms,35538035
LINC00888,Laryngeal Neoplasms,34472153
LINC00887,"Carcinoma, Renal Cell",32654370
LINC00887,Uterine Cervical Neoplasms,33413358
LINC00857,Ovarian Neoplasms,32918541
LINC00857,pancreatic adenocarcinoma,33661995
LINC00857,Pancreatic Neoplasms,35070392
LINC00857,Pancreatic Neoplasms,36272615
LINC00680,Adenocarcinoma of Lung,34029572
LINC00680,Myasthenia Gravis,35800083
Linc00673,Stomach Neoplasms,35634670
LINC00673,Breast Neoplasms,30094100
LINC00673,Breast Neoplasms,31623640
LINC00673,Esophageal Squamous Cell Carcinoma,33014799
LINC00673,"Thyroid Cancer, Papillary",30915752
LINC00673,Uterine Cervical Neoplasms,32950808
LINC00673,Uterine Cervical Neoplasms,34094965
LINC00673,Glioma,29621055
LINC00673,Pancreatic Neoplasms,30210701
LINC00673,Adenocarcinoma of Lung,31235588
LINC00673,Thyroid Neoplasms,30106140
LINC00673,Diabetic Retinopathy,34675574
LINC00671,Pancreatic Neoplasms,30210701
LINC00671,"Carcinoma, Renal Cell",34377233
LINC00671,Thyroid Neoplasms,34404767
LINC00668,Stomach Neoplasms,33879018
LINC00668,Breast Neoplasms,31371999
LINC00680,Osteoarthritis,35501316
LINC00680,Esophageal Squamous Cell Carcinoma,35255921
LINC00682,Stomach Neoplasms,31822638
LINC00839,Neuroblastoma,35606572
LINC00857,Adenocarcinoma of Lung,31667785
LINC00852,"Carcinoma, Non-Small-Cell Lung",34342374
LINC00852,"Carcinoma, Hepatocellular",35401844
LINC00847,"Carcinoma, Non-Small-Cell Lung",33968966
LINC00844,"Carcinoma, Hepatocellular",33313110
LINC00839,Lung Neoplasms,34734406
LINC00839,Liver Neoplasms,36335129
LINC00839,Neuroblastoma,34188473
LINC00707,Stomach Neoplasms,30502359
LINC00689,Glioma,33389570
LINC00707,Breast Neoplasms,32432749
LINC00707,Colorectal Neoplasms,32010320
LINC00707,"Carcinoma, Hepatocellular",30317590
LINC00707,Glioma,33107401
LINC00691,Stomach Neoplasms,32330554
LINC00691,Osteosarcoma,33380807
LINC00689,Stomach Neoplasms,32581594
LINC00689,Glioma,31181442
LINC00525,Adenocarcinoma of Lung,34105888
LINC02908,"Leukemia, Myeloid, Acute",35196780
LINC00460,Colorectal Neoplasms,33526059
LINC00460,Colonic Neoplasms,32069703
LINC00460,"Thyroid Cancer, Papillary",30478856
LINC00460,"Carcinoma, Renal Cell",35912013
LINC00460,"Carcinoma, Hepatocellular",32493835
LINC00460,"Carcinoma, Hepatocellular",32184630
LINC00460,"Carcinoma, Hepatocellular",34612153
LINC00460,Squamous Cell Carcinoma of Head and Neck,31737186
LINC00460,Osteosarcoma,31419446
LINC00460,"Leukemia, Myeloid, Acute",33846790
LINC00460,Esophageal Neoplasms,32534700
LINC00460,Uterine Cervical Neoplasms,32740791
LINC00460,Nasopharyngeal carcinoma,31414345
LINC00460,"Thyroid Cancer, Papillary",32021436
LINC00460,Pancreatic Neoplasms,32724379
LINC00460,Pancreatic Neoplasms,33345740
LINC00460,Pancreatic Neoplasms,36482354
LINC00460,Adenocarcinoma of Lung,30359741
LINC00460,"Carcinoma, Renal Cell",34429655
LINC00460,bladder carcinoma,33027786
LINC00460,Colorectal Neoplasms,33472555
LINC00460,Colorectal Neoplasms,30863183
LINC00460,Skin Neoplasms,36513874
LINC00460,Colorectal Neoplasms,30123352
LINC00467,Glioma,32016980
LINC00467,Adenocarcinoma of Lung,31686834
LINC00467,Adenocarcinoma of Lung,31027730
LINC00467,Prostatic Neoplasms,34094954
LINC00467,Squamous Cell Carcinoma of Head and Neck,32159247
LINC00466,Glioma,33037684
LINC00466,Glioma,33642868
LINC00461,Breast Neoplasms,30623482
LINC00461,Colorectal Neoplasms,31908480
LINC00461,"Carcinoma, Hepatocellular",30879766
LINC00461,Glioma,33817241
LINC00461,Multiple Myeloma,30409700
LINC00461,"Carcinoma, Non-Small-Cell Lung",33233986
LINC00461,"Lymphoma, Large B-Cell, Diffuse",35783530
LINC00460,Stomach Neoplasms,32059342
LINC00460,Breast Neoplasms,31308741
LINC00460,"Thyroid Cancer, Papillary",31870440
LINC00520,"Carcinoma, Non-Small-Cell Lung",33728585
LINC00332,Stomach Neoplasms,35787995
LINC00324,Colorectal Neoplasms,31858541
LINC00324,"Thyroid Cancer, Papillary",33318312
LINC00324,Osteosarcoma,31225659
LINC00324,Ovarian Neoplasms,33416104
LINC00319,Ovarian Neoplasms,30442370
LINC00319,Urinary Bladder Neoplasms,31608995
LINC00319,Squamous Cell Carcinoma of Head and Neck,32948745
LINC00319,Osteosarcoma,32621625
LINC00319,Glioma,31325436
LINC00319,Nasopharyngeal carcinoma,30243935
LINC00313,"Carcinoma, Non-Small-Cell Lung",35980503
LINC00313,Osteosarcoma,32390359
LINC00313,Uterine Cervical Neoplasms,33824592
LINC00312,Breast Neoplasms,31894332
LINC00312,Colorectal Neoplasms,30134003
LINC00312,Thyroid Neoplasms,29969438
LINC00304,Prostatic Neoplasms,31012142
LINC00301,"Carcinoma, Non-Small-Cell Lung",32878637
LINC00299,Atherosclerosis,30734057
LINC00324,"Carcinoma, Non-Small-Cell Lung",32734536
LINC00339,Triple Negative Breast Neoplasms,30618083
LINC00459,Melanoma,31844121
LINC00339,Ovarian Neoplasms,31550677
LINC00452,Ovarian Neoplasms,33168781
LINC00449,Triple Negative Breast Neoplasms,33247132
LINC00423,Retroperitoneal liposarcoma,31160581
LINC00365,Breast Neoplasms,31897191
LINC00365,Adenocarcinoma of Lung,35426242
LINC00356,"Carcinoma, Hepatocellular",32133348
LINC00355,Stomach Neoplasms,33083020
LINC00355,Colonic Neoplasms,33227664
LINC00355,"Carcinoma, Hepatocellular",32913459
LINC00355,Urinary Bladder Neoplasms,34641698
LINC00355,Glioma,34603558
LINC00355,Adenocarcinoma of Lung,31689506
LINC00342,Stomach Neoplasms,34715819
LINC00342,"Carcinoma, Non-Small-Cell Lung",31539128
LINC00342,Colorectal Neoplasms,33588834
LINC00342,Adenocarcinoma of Lung,35452205
LINC00342,"Carcinoma, Renal Cell",35083240
LINC00339,Colorectal Neoplasms,31269584
LINC00339,"Carcinoma, Hepatocellular",31239716
LINC00467,Glioma,32226508
LINC00467,Glioma,32684096
LINC00467,"Leukemia, Myeloid, Acute",33054480
LINC00511,Osteoarthritis,32635763
LINC00511,Osteosarcoma,31386627
LINC00511,Osteosarcoma,32964019
LINC00511,pancreatic ductal adenocarcinoma,28984028
LINC00511,Uterine Cervical Neoplasms,31434692
LINC00511,Uterine Cervical Neoplasms,33116605
LINC00511,Uterine Cervical Neoplasms,32067228
LINC00511,Uterine Cervical Neoplasms,36103025
LINC00511,Adenocarcinoma of Lung,32716147
LINC00511,Adenocarcinoma of Lung,35399076
LINC00511,Adenocarcinoma of Lung,35842617
LINC00511,Adenocarcinoma of Lung,36371775
LINC00511,"Carcinoma, Non-Small-Cell Lung",35993940
LINC00511,Melanoma,34218270
LINC00511,lung squamous cell carcinoma,32953492
LINC00504,Breast Neoplasms,33654429
LINC00504,Breast Neoplasms,34239305
LINC00504,Colonic Neoplasms,30998289
LINC00504,Ovarian Neoplasms,31691157
LINC00501,Lung Neoplasms,32801746
LINC00511,"Carcinoma, Hepatocellular",31081082
LINC00511,Colonic Neoplasms,35477702
LINC00511,Colorectal Neoplasms,33536761
LINC00520,Lung Neoplasms,32801856
LINC00520,Colorectal Neoplasms,32146708
LINC00520,"Thyroid Cancer, Papillary",32075502
LINC00520,"Carcinoma, Hepatocellular",35089659
LINC00520,Squamous Cell Carcinoma of Head and Neck,32462956
LINC00520,Nasopharyngeal carcinoma,30898716
LINC00520,Adenocarcinoma of Lung,33464477
LINC00520,Adenocarcinoma of Lung,34496829
LINC00519,lung squamous cell carcinoma,32297697
LINC00518,Uterine Cervical Neoplasms,30720156
LINC00518,Adenocarcinoma of Lung,33937054
LINC00518,Melanoma,35813236
LINC00518,Melanoma,35189053
LINC00511,Stomach Neoplasms,32368318
LINC00511,Stomach Neoplasms,34224294
LINC00511,Breast Neoplasms,33031905
LINC00511,Breast Neoplasms,35790898
LINC00511,"Carcinoma, Non-Small-Cell Lung",35116366
LINC00511,Colorectal Neoplasms,32092829
LINC00494,Ovarian Neoplasms,33585183
LINC00491,Esophageal Squamous Cell Carcinoma,33537830
LINC00491,Adenocarcinoma of Lung,36496997
LINC00472,Squamous Cell Carcinoma of Head and Neck,35240924
LINC00472,Osteosarcoma,32256209
LINC00472,Triple Negative Breast Neoplasms,33668040
LINC00470,Stomach Neoplasms,31711642
LINC00470,"Carcinoma, Hepatocellular",31612313
LINC00470,Glioma,33663509
LINC00467,Stomach Neoplasms,34555778
LINC00467,Breast Neoplasms,33996559
LINC00467,"Carcinoma, Non-Small-Cell Lung",32796958
LINC00467,Esophageal Squamous Cell Carcinoma,32720371
LINC00467,Colorectal Neoplasms,31772673
LINC00467,Colorectal Neoplasms,32934693
LINC00467,"Carcinoma, Hepatocellular",31480990
LINC00467,"Carcinoma, Hepatocellular",32125766
LINC00467,"Carcinoma, Hepatocellular",31916278
LINC00467,"Carcinoma, Hepatocellular",31656043
LINC00467,Osteosarcoma,32572906
LINC00472,"Carcinoma, Hepatocellular",30522853
LINC00472,Breast Neoplasms,30830488
LINC00472,Stomach Neoplasms,31570433
LINC00473,Breast Neoplasms,36305147
LINC00491,Liver Neoplasms,34876144
LINC00485,Lung Neoplasms,33237626
LINC00485,Colorectal Neoplasms,33461166
LINC00477,Polycystic Ovary Syndrome,33622342
LINC00473,Stomach Neoplasms,30071345
LINC00473,Breast Neoplasms,30848493
LINC00473,"Carcinoma, Non-Small-Cell Lung",33868467
LINC00473,Esophageal Squamous Cell Carcinoma,31584290
LINC00473,Colorectal Neoplasms,34306345
LINC00473,Glioma,31894297
LINC00473,Glioma,31561732
LINC00473,Adenocarcinoma of Lung,32351100
Linc00473,Cholangiocarcinoma,32694946
LINC00473,Prostatic Neoplasms,32440687
LINC00473,Molecular Epidemiology,34091587
LINC00924,Stomach Neoplasms,36418856
LINC00930,Nasopharyngeal carcinoma,35209949
LINC00941,"Thyroid Cancer, Papillary",32495722
LINC01535,"Carcinoma, Renal Cell",35342411
LINC01518,Esophageal Squamous Cell Carcinoma,31810385
LINC01515,Nasopharyngeal carcinoma,33770322
LINC01503,Stomach Neoplasms,32207034
LINC01503,Stomach Neoplasms,33145887
LINC01503,"Carcinoma, Hepatocellular",32547318
LINC01503,Glioma,30840283
LINC01503,Nasopharyngeal carcinoma,32661324
LINC01503,"Carcinoma, Non-Small-Cell Lung",32938459
LINC01503,gastric cardia adenocarcinoma,33200343
LINC01494,Glioma,31571916
LINC01485,Stomach Neoplasms,32904620
LINC01480,Coronary Artery Disease,35557532
LINC01451,Urinary Bladder Neoplasms,33516780
LINC01448,Pancreatic Neoplasms,33520999
LINC01446,Glioblastoma,30029885
LINC01436,Stomach Neoplasms,31829474
LINC01526,Stomach Neoplasms,36230863
LINC01535,Uterine Cervical Neoplasms,31273925
LINC01436,Colorectal Neoplasms,35171402
LINC01535,Osteosarcoma,32753970
LINC01606,Colonic Neoplasms,35485210
LINC01605,Colorectal Neoplasms,34544413
LINC01585,Breast Neoplasms,30366079
LINC01572,"Carcinoma, Hepatocellular",34970545
LINC01572,Adenocarcinoma of Lung,36686701
LINC01569,Colorectal Neoplasms,34422671
LINC01564,Stomach Neoplasms,35562740
LINC01561,"Carcinoma, Non-Small-Cell Lung",32003010
LINC01559,Breast Neoplasms,35715331
LINC01559,"Carcinoma, Hepatocellular",33588099
LINC01559,Pancreatic Neoplasms,31608998
LINC01559,Adenocarcinoma of Lung,34823534
LINC01555,Colorectal Neoplasms,31144675
LINC01555,Small Cell Lung Carcinoma,36045598
LINC01554,"Carcinoma, Hepatocellular",30809309
LINC01550,Melanoma,33609219
LINC01546,Stomach Neoplasms,36229913
LINC01537,Stomach Neoplasms,36358656
LINC01535,Colorectal Neoplasms,33986850
LINC01436,"Carcinoma, Non-Small-Cell Lung",30614188
LINC01433,Esophageal Squamous Cell Carcinoma,32432741
LINC00941,Colorectal Neoplasms,32737443
LINC01348,"Carcinoma, Hepatocellular",34140643
LINC01320,Pancreatic Neoplasms,34976325
LINC01315,Breast Neoplasms,35412954
LINC01315,Colorectal Neoplasms,35156543
LINC01315,Squamous Cell Carcinoma of Head and Neck,33117688
LINC01311,Thyroid Neoplasms,36423383
LINC01311,Alzheimer Disease,33830627
LINC01305,Uterine Cervical Neoplasms,33312390
LINC01305,Uterine Cervical Neoplasms,33638945
LINC01303,Stomach Neoplasms,31497936
LINC01303,laryngeal carcinoma,33841686
LINC01303,Squamous Cell Carcinoma of Head and Neck,34912458
LINC01287,Breast Neoplasms,35695608
LINC01278,Colorectal Neoplasms,33155208
LINC01278,Osteosarcoma,31994731
LINC01278,Osteosarcoma,33531816
LINC01270,Stomach Neoplasms,35345980
LINC01270,Esophageal Neoplasms,33199829
LINC01270,Triple Negative Breast Neoplasms,33247368
LINC01270,Adenocarcinoma of Lung,36694453
LINC01320,Stomach Neoplasms,34288797
LINC01354,Osteosarcoma,32111497
LINC01426,Glioma,35772605
LINC01354,Colorectal Neoplasms,30987669
LINC01426,Glioblastoma,32699526
LINC01426,Adenocarcinoma of Lung,32953928
LINC01426,Adenocarcinoma of Lung,33568633
LINC01426,lung non-small cell carcinoma,35639219
LINC01419,"Carcinoma, Hepatocellular",32522890
LINC01419,"Carcinoma, Hepatocellular",33772101
LINC01419,Osteosarcoma,32390762
LINC01410,Colonic Neoplasms,30546401
LINC01410,Osteosarcoma,34605103
LINC01410,Osteosarcoma,33583123
LINC01410,Glioma,33712887
LINC01410,Pancreatic Neoplasms,31137129
LINC01410,Gallbladder Neoplasms,34322379
LINC01410,Cholangiocarcinoma,31951299
LINC01410,Neuroblastoma,34040388
LINC01391,Stomach Neoplasms,33033510
LINC01385,Osteoarthritis,34539840
LINC01385,Nasopharyngeal carcinoma,32264733
LINC01355,Breast Neoplasms,31243265
LINC01608,"Carcinoma, Hepatocellular",36385489
LINC01612,"Carcinoma, Hepatocellular",35541917
LINC01614,Adenocarcinoma of Lung,36209111
LINC02446,Urinary Bladder Neoplasms,33526846
LINC02418,Colonic Neoplasms,32973404
LINC02418,Adenocarcinoma of Lung,32795273
LINC02381,Stomach Neoplasms,33194632
LINC02381,Colorectal Neoplasms,32092325
LINC02381,Osteosarcoma,33640603
LINC02381,Glioma,34274429
LINC02362,"Carcinoma, Hepatocellular",34990401
LINC02323,Ovarian Neoplasms,33247856
LINC02321,Urinary Bladder Neoplasms,36579659
LINC02273,Breast Neoplasms,31856843
LINC02273,"Carcinoma, Hepatocellular",35132378
LINC02257,Colorectal Neoplasms,36124032
LINC02253,Stomach Neoplasms,35136989
LINC02200,Sinonasal Squamous Cell Carcinoma,34256488
LINC02154,"Carcinoma, Hepatocellular",35543858
LINC02145,"Carcinoma, Hepatocellular",32194906
LINC02042,Esophageal Squamous Cell Carcinoma,32161513
LINC02041,"Carcinoma, Renal Cell",32432737
LINC02418,"Carcinoma, Non-Small-Cell Lung",31841189
LINC02465,Stomach Neoplasms,30632400
LINC01614,Pancreatic Neoplasms,35929518
LINC02470,Urinary Bladder Neoplasms,35205713
LINC02908,Esophageal Squamous Cell Carcinoma,35917643
LINC02893,Osteosarcoma,33117693
LINC02883,Urinary Bladder Neoplasms,31850704
LINC02882,Stomach Neoplasms,32052594
LINC02875,Glioma,33828990
LINC02870,"Carcinoma, Hepatocellular",36583796
LINC02835,"Carcinoma, Hepatocellular",31874857
LINC02747,"Carcinoma, Renal Cell",33425728
LINC02605,"Carcinoma, Non-Small-Cell Lung",35972581
LINC02605,Urinary Bladder Neoplasms,30149689
LINC02587,Uterine Cervical Neoplasms,34224325
LINC02580,"Carcinoma, Hepatocellular",33168192
LINC02544,lung squamous cell carcinoma,35635595
LINC02535,Stomach Neoplasms,34125981
LINC02535,Adenocarcinoma of Lung,35852407
LINC02532,Stomach Neoplasms,30788037
LINC02499,"Carcinoma, Hepatocellular",32039538
LINC02475,"Carcinoma, Hepatocellular",36118852
LINC02474,Colorectal Neoplasms,33898319
LINC02041,Pancreatic Neoplasms,30802827
LINC02023,Colorectal Neoplasms,30849479
LINC01980,Esophageal Squamous Cell Carcinoma,30935686
LINC01980,Esophageal Squamous Cell Carcinoma,32325088
LINC01711,Esophageal Squamous Cell Carcinoma,34370713
LINC01711,Glioblastoma,36341927
LINC01705,Breast Neoplasms,32849791
LINC01705,Colorectal Neoplasms,32901883
LINC01679,Prostatic Neoplasms,34900992
LINC01638,Breast Neoplasms,30002443
LINC01638,Breast Neoplasms,29992881
LINC01638,"Carcinoma, Hepatocellular",31516592
LINC01638,pancreatic ductal adenocarcinoma,31702018
LINC01638,"Thyroid Cancer, Papillary",34281460
LINC01638,laryngeal squamous cell carcinoma,33714208
LINC01635,Lung Neoplasms,36420078
LINC01617,Esophageal Neoplasms,30120975
LINC01615,Colonic Neoplasms,34965191
LINC01615,Squamous Cell Carcinoma of Head and Neck,35794984
LINC01614,Stomach Neoplasms,33742127
LINC01614,Stomach Neoplasms,34691143
LINC01614,Squamous Cell Carcinoma of Head and Neck,35687049
LINC01614,Esophageal Neoplasms,35116503
LINC01748,"Carcinoma, Non-Small-Cell Lung",34970695
LINC01783,tongue squamous cell carcinoma,34363308
LINC01783,"Carcinoma, Non-Small-Cell Lung",33902591
LINC01857,Breast Neoplasms,36046633
LINC01977,Adenocarcinoma of Lung,35982471
LINC01969,Ovarian Neoplasms,33614632
LINC01963,Pancreatic Carcinoma,32559621
LINC01939,Stomach Neoplasms,30683847
LINC01939,"Carcinoma, Renal Cell",32138544
LINC01929,Squamous Cell Carcinoma of Head and Neck,33968763
LINC01857,Breast Neoplasms,30628071
LINC01857,pancreatic adenocarcinoma,35662010
LINC01787,Breast Neoplasms,31750242
LINC01857,Glioma,31049960
LINC01857,"Lymphoma, Large B-Cell, Diffuse",33311569
LINC01852-201,Stomach Neoplasms,30138664
LINC01852-201,Kidney Neoplasms,31486486
LINC01833,Urinary Bladder Neoplasms,34728613
LINC01833,Adenocarcinoma of Lung,33173348
LINC01819,Breast Neoplasms,35259457
LINC01793,Squamous Cell Carcinoma of Head and Neck,33713982
LINC01260,"Carcinoma, Non-Small-Cell Lung",33116647
LINC01260,Non-alcoholic Fatty Liver Disease,35016686
LINC01255,"Leukemia, Myeloid, Acute",33405050
LINC01023,Hepatoblastoma,36576714
LINC01018,Glioma,36094613
LINC01018,Glioma,36550594
LINC01013,Cardiovascular Diseases,33505972
LINC01004,Pituitary Neoplasms,35490653
LINC01003,Multiple Myeloma,33865032
LINC00997,Colorectal Neoplasms,33570445
LINC00997,"Carcinoma, Renal Cell",31442606
LINC00996,Adenocarcinoma of Lung,36118847
LINC00994,Stomach Neoplasms,31737214
LINC00994,Pancreatic Neoplasms,30739523
LINC00993,Breast Neoplasms,31921620
LINC00993,Triple Negative Breast Neoplasms,31128002
LINC00992,"Carcinoma, Hepatocellular",36084427
LINC00987,Osteosarcoma,35201476
LINC00987,"Pulmonary Disease, Chronic Obstructive",33311978
LINC00976,Pancreatic Neoplasms,31747939
LINC00976,Cholangiocarcinoma,36400758
LINC00974,Stomach Neoplasms,31596614
LINC00974,Squamous Cell Carcinoma of Head and Neck,31702382
LINC01018,"Leukemia, Myeloid, Acute",34079594
LINC01048,Skin Neoplasms,30931936
LINC01106,Stomach Neoplasms,34550549
LINC01050,Stomach Neoplasms,34749766
LINC01094,Glioma,34716872
LINC01094,"Carcinoma, Renal Cell",33173535
LINC01093,"Carcinoma, Hepatocellular",30790682
LINC01089,Stomach Neoplasms,33088215
LINC01089,Stomach Neoplasms,32982308
LINC01089,"Carcinoma, Non-Small-Cell Lung",33269007
LINC01089,Lung Neoplasms,34561789
LINC01089,"Carcinoma, Hepatocellular",35526240
LINC01089,Osteosarcoma,36399257
LINC01089,Uterine Cervical Neoplasms,33025678
LINC01089,Thyroid Neoplasms,36306007
LINC01089,Adenocarcinoma of Lung,33892399
LINC01088,Stomach Neoplasms,35728587
LINC01088,Glioma,35392763
LINC01087,Breast Neoplasms,33061456
LINC01082,Colorectal Neoplasms,31432387
LINC01061,Cholangiocarcinoma,30967271
LINC00974,Oral Submucous Fibrosis,30447113
LINC00968,Coronary Artery Disease,30485507
LINC00963,Stomach Neoplasms,33376349
LINC00958,Squamous Cell Carcinoma of Head and Neck,31442551
LINC00958,Squamous Cell Carcinoma of Head and Neck,34384029
LINC00958,Osteosarcoma,33928604
LINC00958,Nasopharyngeal carcinoma,31819474
LINC00958,Adenocarcinoma of Lung,31997940
LINC00958,Adenocarcinoma of Lung,35223488
LINC00958,Endometrial Neoplasms,33885186
LINC00958,"Thyroid Cancer, Papillary",35199939
LINC00944,"Carcinoma, Renal Cell",34291088
LINC00942,Adenocarcinoma of Lung,34253104
LINC00941,Stomach Neoplasms,30723491
LINC00941,Colonic Neoplasms,33654409
LINC00941,Squamous Cell Carcinoma of Head and Neck,32691935
LINC00941,Squamous Cell Carcinoma of Head and Neck,35037538
LINC00941,Glioma,36375627
LINC00941,Pancreatic Neoplasms,34513310
LINC00941,Pancreatic Neoplasms,35977942
LINC00958,"Carcinoma, Hepatocellular",33979257
LINC00958,"Carcinoma, Hepatocellular",31915027
LINC00958,"Carcinoma, Ovarian Epithelial",34790276
LINC00963,Prostatic Neoplasms,32554858
LINC00963,Breast Neoplasms,33550958
LINC00963,Colorectal Neoplasms,34498706
LINC00963,Colorectal Neoplasms,33495804
