PMID,miRNA,disease
35730574,hsa-mir-206,Osteosarcoma
35126948,hsa-mir-206,Endometriosis
35119030,hsa-mir-206,Diabetic Nephropathies
35107852,hsa-mir-206,Ovarian Neoplasms
35084640,hsa-mir-206,Diabetic Nephropathies
34670670,hsa-mir-206,Asthma
34558643,hsa-mir-206,"Carcinoma, Non-Small-Cell Lung"
34503538,hsa-mir-206,Pituitary Neoplasms
34457116,hsa-mir-206,Breast Neoplasms
34457116,hsa-mir-206,Stroke
34268933,hsa-mir-206,Mouth Neoplasms
34196215,hsa-mir-206,"Carcinoma, Hepatocellular"
34148561,hsa-mir-206,Polycystic Ovary Syndrome
34058384,hsa-mir-206,"Carcinoma, Renal Cell"
33945391,hsa-mir-206,"Hemangioma, Cavernous"
33782806,hsa-mir-206,"Carcinoma, Hepatocellular"
33735119,hsa-mir-206,"Carcinoma, Hepatocellular"
33635017,hsa-mir-206,Sepsis
33099847,hsa-mir-206,"Influenza, Human"
32153123,hsa-mir-206,"Carcinoma, Non-Small-Cell Lung"
32107418,hsa-mir-206,Endometrial Neoplasms
32074070,hsa-mir-206,"Carcinoma, Non-Small-Cell Lung"
31322230,hsa-mir-206,"Carcinoma, Non-Small-Cell Lung"
31163553,hsa-mir-206,Laryngeal Neoplasms
31115001,hsa-mir-206,Colorectal Neoplasms
30920079,hsa-mir-206,Breast Neoplasms
30805592,hsa-mir-206,"Carcinoma, Hepatocellular"
35327465,hsa-mir-206,Squamous Cell Carcinoma of Head and Neck
35141790,hsa-mir-206,Non-alcoholic Fatty Liver Disease
34295819,hsa-mir-206,"Carcinoma, Hepatocellular"
33500693,hsa-mir-206,Polycystic Ovary Syndrome
33204065,hsa-mir-206,Nervous System Diseases
31243650,hsa-mir-206,Seizures
30636484,hsa-mir-206,Fetal Growth Retardation
30410864,hsa-mir-206,Glioma
31695578,hsa-mir-206,Breast Neoplasms
34850055,hsa-mir-206,Myocardial Reperfusion Injury
31121484,hsa-mir-206,"Carcinoma, Non-Small-Cell Lung"
36736544,hsa-mir-206,Anxiety Disorders
35678907,hsa-mir-206,Memory Disorders
36599973,hsa-mir-206,Osteosarcoma
34900997,hsa-mir-206,"Histiocytoma, Malignant Fibrous"
34790377,hsa-mir-206,Esophageal Neoplasms
34746018,hsa-mir-206,Uterine Cervical Neoplasms
34659572,hsa-mir-206,Ovarian Neoplasms
34094665,hsa-mir-206,Hepatoblastoma
33633805,hsa-mir-206,Colorectal Neoplasms
32316543,hsa-mir-200c,Colorectal Neoplasms
33880049,hsa-mir-200c,"Opitz GBBB Syndrome, X-Linked"
32626945,hsa-mir-200c,Osteochondrodysplasias
33472424,hsa-mir-200c,Hemangioma
36401368,hsa-mir-200c,Breast Neoplasms
34981333,hsa-mir-200c,Salivary Gland Neoplasms
34440380,hsa-mir-200c,Triple Negative Breast Neoplasms
33070965,hsa-mir-200c,Leiomyoma
32497621,hsa-mir-200c,Ovarian Neoplasms
32495886,hsa-mir-200c,"Thyroid Cancer, Papillary"
32313093,hsa-mir-200c,Breast Neoplasms
32179097,hsa-mir-200c,Nasopharyngeal Neoplasms
31421682,hsa-mir-200c,Polycystic Ovary Syndrome
31383782,hsa-mir-200c,"Enterocolitis, Necrotizing"
30440128,hsa-mir-200c,Respiratory Distress Syndrome
30431444,hsa-mir-200c,Nasopharyngeal Carcinoma
35884604,hsa-mir-200c,Triple Negative Breast Neoplasms
35812732,hsa-mir-200c,Papillomavirus Infections
35333696,hsa-mir-200c,Osteosarcoma
31539107,hsa-mir-200c,Pre-Eclampsia
36614110,hsa-mir-200c,Esophageal Achalasia
36603340,hsa-mir-200c,Retinoblastoma
35607288,hsa-mir-200c,Diabetic Retinopathy
35034548,hsa-mir-200c,Chronic Periodontitis
34676879,hsa-mir-200c,Intervertebral Disc Degeneration
34560556,hsa-mir-200c,Colorectal Neoplasms
34524611,hsa-mir-200c,Stomach Neoplasms
34259142,hsa-mir-200c,Pancreatic Carcinoma
31965022,hsa-mir-200c,Testicular Germ Cell Tumor
31965022,hsa-mir-200c,Seminoma
31194576,hsa-mir-200c,Wilms Tumor
34638504,hsa-mir-200c,"Prostatic Neoplasms, Castration-Resistant"
34345281,hsa-mir-200c,Asthma
31516388,hsa-mir-200c,"Carcinoma, Renal Cell"
30662595,hsa-mir-200c,Glioma
35144475,hsa-mir-200c,Wilms Tumor
35659199,hsa-mir-199b,Pancreatic Carcinoma
32686982,hsa-mir-199b,Triple Negative Breast Neoplasms
31018949,hsa-mir-199b,"Carcinoma, Renal Cell"
30627542,hsa-mir-199b,Uterine Cervical Neoplasms
30610808,hsa-mir-199b,Osteosarcoma
31862869,hsa-mir-199b,Parkinson Disease
34482026,hsa-mir-199b,Prostatic Neoplasms
34257820,hsa-mir-199b,Diabetic Nephropathies
34946859,hsa-mir-199b,Squamous Cell Carcinoma of Head and Neck
30536310,hsa-mir-199b,"Carcinoma, Hepatocellular"
35280401,hsa-mir-199b,Melanoma
32948213,hsa-mir-199b,Spinal Cord Injuries
32580513,hsa-mir-199b,Rectal Neoplasms
33322515,hsa-mir-96,Obesity
33390476,hsa-mir-96,Neurodegenerative Diseases
35912726,hsa-mir-96,Prostatic Neoplasms
35241735,hsa-mir-96,"Carcinoma, Renal Cell"
35109756,hsa-mir-96,Coronary Artery Disease
33538115,hsa-mir-96,Adenocarcinoma of Lung
32100957,hsa-mir-96,Breast Neoplasms
31965022,hsa-mir-96,Testicular Germ Cell Tumor
31965022,hsa-mir-96,Seminoma
31885423,hsa-mir-96,Stomach Neoplasms
31160270,hsa-mir-96,"Carcinoma, Non-Small-Cell Lung"
35965793,hsa-mir-96,"Carcinoma, Hepatocellular"
35686454,hsa-mir-96,Sepsis
35686454,hsa-mir-96,Myocardial Infarction
34745257,hsa-mir-96,"Thyroid Cancer, Papillary"
33681183,hsa-mir-96,Myocardial Infarction
31423265,hsa-mir-96,Colorectal Neoplasms
36246563,hsa-mir-96,Colorectal Neoplasms
35034519,hsa-mir-96,"Carcinoma, Non-Small-Cell Lung"
33812412,hsa-mir-96,"Leukemia, Myeloid, Acute"
33183350,hsa-mir-96,Colorectal Neoplasms
31683435,hsa-mir-96,Pulmonary Fibrosis
31498486,hsa-mir-96,"Carcinoma, Renal Cell"
31325400,hsa-mir-96,"Carcinoma, Pancreatic Ductal"
30467667,hsa-mir-96,Breast Neoplasms
35399004,hsa-mir-96,Nonsyndromic Deafness
33046975,hsa-mir-96,"Carcinoma, Hepatocellular"
31749660,hsa-mir-96,"Thyroid Cancer, Papillary"
31150368,hsa-mir-96,Spinal Cord Injuries
30828264,hsa-mir-96,"Carcinoma, Hepatocellular"
32316543,hsa-mir-93,Colorectal Neoplasms
32642700,hsa-mir-93,Glioblastoma
36356379,hsa-mir-93,"Carcinoma, Renal Cell"
36356379,hsa-mir-93,Kidney Calculi
34790052,hsa-mir-93,Small Cell Lung Carcinoma
34560556,hsa-mir-93,Colorectal Neoplasms
34380584,hsa-mir-93,Thyroid Neoplasms
34162560,hsa-mir-93,Pancreatic Carcinoma
33051589,hsa-mir-93,Stomach Neoplasms
32996061,hsa-mir-93,Myocardial Infarction
32996061,hsa-mir-93,Sepsis
32987857,hsa-mir-93,Aortic Valve Disease
32329818,hsa-mir-93,"Osteoporosis, Postmenopausal"
31773703,hsa-mir-93,Glioma
31545928,hsa-mir-93,Diabetic Nephropathies
31545928,hsa-mir-93,"Fibrosis, Renal"
31411003,hsa-mir-93,Myelodysplastic Syndromes
30582208,hsa-mir-93,Prostatic Neoplasms
30522853,hsa-mir-93,"Carcinoma, Hepatocellular"
36140165,hsa-mir-93,Endometriosis
34532486,hsa-mir-93,Sciatic Neuropathy
34128362,hsa-mir-93,Triple Negative Breast Neoplasms
33937030,hsa-mir-93,Colorectal Neoplasms
33585208,hsa-mir-93,Uterine Cervical Neoplasms
32943985,hsa-mir-93,Ovarian Neoplasms
32328191,hsa-mir-93,Squamous Cell Carcinoma of Head and Neck
32201579,hsa-mir-93,Osteosarcoma
36142220,hsa-mir-93,Periodontitis
33773992,hsa-mir-93,Colorectal Neoplasms
33505213,hsa-mir-93,Sepsis
32335549,hsa-mir-93,Mycosis Fungoides
32319551,hsa-mir-93,Intervertebral Disc Degeneration
31432162,hsa-mir-93,Adenocarcinoma of Lung
31253047,hsa-mir-93,Osteoarthritis
31128026,hsa-mir-93,Ovarian Neoplasms
30654687,hsa-mir-93,Glioblastoma
30455080,hsa-mir-93,Urinary Bladder Neoplasms
35117516,hsa-mir-93,Urinary Bladder Neoplasms
34138419,hsa-mir-93,"Kidney Failure, Chronic"
32850002,hsa-mir-93,"Dementia, Vascular"
31934035,hsa-mir-93,Esophageal Squamous Cell Carcinoma
30651865,hsa-mir-93,Peripheral Arterial Disease
32047516,hsa-mir-93,Urinary Bladder Neoplasms
31953163,hsa-mir-93,Thyroid Neoplasms
35306579,hsa-mir-93,Ovarian Neoplasms
32366853,hsa-mir-93,Pancreatic Neoplasms
31945231,hsa-mir-181a-1,Iron Metabolism Disorders
30648255,hsa-mir-139,Fibrosis
34249000,hsa-mir-139,Acquired Immunodeficiency Syndrome
31945231,hsa-mir-139,Iron Metabolism Disorders
36646789,hsa-mir-139,Pancreatic Carcinoma
36635757,hsa-mir-139,Glioblastoma
36232922,hsa-mir-139,Colorectal Neoplasms
35964231,hsa-mir-139,Pre-Eclampsia
35543383,hsa-mir-139,Depression
35414313,hsa-mir-139,Endometriosis
35254597,hsa-mir-139,"Carcinoma, Hepatocellular"
34190001,hsa-mir-139,Esophageal Squamous Cell Carcinoma
33991848,hsa-mir-139,Glioblastoma
33789378,hsa-mir-139,Esophageal Squamous Cell Carcinoma
33517826,hsa-mir-139,"Carcinoma, Hepatocellular"
33317757,hsa-mir-139,Breast Neoplasms
33300085,hsa-mir-139,"Carcinoma, Non-Small-Cell Lung"
33023613,hsa-mir-139,Colorectal Neoplasms
32734536,hsa-mir-139,"Carcinoma, Non-Small-Cell Lung"
32327260,hsa-mir-139,Stomach Neoplasms
32285917,hsa-mir-139,"Carcinoma, Hepatocellular"
32109290,hsa-mir-139,Stomach Neoplasms
31567382,hsa-mir-139,Urinary Bladder Neoplasms
31542613,hsa-mir-139,Hemangioma
31505165,hsa-mir-139,"Carcinoma, Renal Cell"
30614351,hsa-mir-139,"Carcinoma, Non-Small-Cell Lung"
30439707,hsa-mir-139,Ovarian Neoplasms
35406401,hsa-mir-139,"Carcinoma, Hepatocellular"
33380402,hsa-mir-139,Asthma
33322675,hsa-mir-139,"Carcinoma, Renal Cell"
31966906,hsa-mir-139,Myocardial Reperfusion Injury
31807180,hsa-mir-139,"Carcinoma, Hepatocellular"
33145301,hsa-mir-139,Osteosarcoma
35137670,hsa-mir-139,Stomach Neoplasms
35137600,hsa-mir-139,"Carcinoma, Hepatocellular"
33602031,hsa-mir-139,Esophageal Squamous Cell Carcinoma
33015787,hsa-mir-139,"Carcinoma, Non-Small-Cell Lung"
32504353,hsa-mir-139,Stomach Neoplasms
32356485,hsa-mir-139,Esophageal Squamous Cell Carcinoma
30394818,hsa-mir-139,"Carcinoma, Hepatocellular"
33407504,hsa-mir-139,Pituitary Neoplasms
33204108,hsa-mir-139,Stomach Neoplasms
33901015,hsa-mir-139,Liver Failure
33288559,hsa-mir-139,Prostatic Neoplasms
31210338,hsa-mir-139,Cerebral Hemorrhage
35835978,hsa-mir-139,Glioblastoma
33504414,hsa-mir-139,Asthma
35800618,hsa-mir-139,Osteosarcoma
33552243,hsa-mir-139,Ovarian Neoplasms
33061629,hsa-mir-139,Triple Negative Breast Neoplasms
35007826,hsa-mir-139,Osteosarcoma
30970507,hsa-mir-18a,Prostatic Neoplasms
32656212,hsa-mir-18a,Bowen-Conradi syndrome
36168877,hsa-mir-18a,Ischemic Stroke
35626709,hsa-mir-18a,Breast Neoplasms
35021946,hsa-mir-18a,Nasal Polyps
32975234,hsa-mir-18a,Glioblastoma
31186404,hsa-mir-18a,Stomach Neoplasms
30817902,hsa-mir-18a,Breast Neoplasms
35145900,hsa-mir-18a,"Carcinoma, Hepatocellular"
35116852,hsa-mir-18a,Colonic Neoplasms
34505723,hsa-mir-18a,Myocardial Infarction
34194502,hsa-mir-18a,Esophageal Neoplasms
32395477,hsa-mir-18a,Pancreatic Carcinoma
31966670,hsa-mir-18a,Brain Ischemia
31966670,hsa-mir-18a,Diabetic Retinopathy
30929346,hsa-mir-18a,Pulmonary Fibrosis
35909488,hsa-mir-18a,Retinoblastoma
35295003,hsa-mir-18a,Prostatic Neoplasms
34698360,hsa-mir-18a,"Lymphoma, Large B-Cell, Diffuse"
33912133,hsa-mir-18a,Atherosclerosis
33557774,hsa-mir-18a,Cholangiocarcinoma
33432363,hsa-mir-18a,Esophageal Neoplasms
32138500,hsa-mir-18a,Hemangioma
31916278,hsa-mir-18a,"Carcinoma, Hepatocellular"
36377216,hsa-mir-18a,Colorectal Neoplasms
31724220,hsa-mir-18a,Colorectal Neoplasms
33867824,hsa-mir-18a,Breast Neoplasms
33684620,hsa-mir-18a,Spinal Fractures
33684620,hsa-mir-18a,Osteoporosis
33336743,hsa-mir-18a,Glioma
36331809,hsa-mir-18a,Urinary Bladder Neoplasms
35542225,hsa-mir-18a,"Carcinoma, Non-Small-Cell Lung"
33392094,hsa-mir-18a,Ovarian Neoplasms
32948197,hsa-mir-149,Adenocarcinoma of Lung
32707301,hsa-mir-149,Fibrosis
32707301,hsa-mir-149,Vascular Diseases
32707301,hsa-mir-149,Norrie disease
30820263,hsa-mir-149,Insulin Resistance
34528480,hsa-mir-149,Lesch-Nyhan Syndrome
32977944,hsa-mir-149,Stomach Neoplasms
32790946,hsa-mir-149,Osteoarthritis
32483313,hsa-mir-149,Breast Neoplasms
32141427,hsa-mir-149,Osteoarthritis
32048451,hsa-mir-149,"Carcinoma, Ovarian Epithelial"
31911555,hsa-mir-149,Breast Neoplasms
31597523,hsa-mir-149,"Carcinoma, Non-Small-Cell Lung"
31510782,hsa-mir-149,Squamous Cell Carcinoma of Head and Neck
31148230,hsa-mir-149,Pre-Eclampsia
36716981,hsa-mir-149,Osteoarthritis
33790651,hsa-mir-149,Prostatic Neoplasms
33140323,hsa-mir-149,Stomach Neoplasms
32922545,hsa-mir-149,Colorectal Neoplasms
30569478,hsa-mir-149,"Carcinoma, Non-Small-Cell Lung"
35864972,hsa-mir-149,Cholangiocarcinoma
35743223,hsa-mir-149,Lung Neoplasms
35202986,hsa-mir-149,Osteoarthritis
35050465,hsa-mir-149,Stomach Neoplasms
34587435,hsa-mir-149,Stomach Neoplasms
33108931,hsa-mir-149,Glaucoma
31646561,hsa-mir-149,Colorectal Neoplasms
30879766,hsa-mir-149,"Carcinoma, Hepatocellular"
33965958,hsa-mir-149,Uterine Cervical Neoplasms
33216728,hsa-mir-149,"Reperfusion Injury, Cerebral Ischemia"
32624692,hsa-mir-149,Liver Neoplasms
35723348,hsa-mir-149,"Carcinoma, Hepatocellular"
35279146,hsa-mir-149,Triple Negative Breast Neoplasms
34712324,hsa-mir-149,Stomach Neoplasms
33428703,hsa-mir-149,Alzheimer Disease
33391456,hsa-mir-149,Ovarian Neoplasms
33173349,hsa-mir-149,Breast Neoplasms
33093810,hsa-mir-149,Colorectal Neoplasms
32939872,hsa-mir-149,"Abortion, Habitual"
32461380,hsa-mir-149,"Carcinoma, Hepatocellular"
33368266,hsa-mir-939,Triple Negative Breast Neoplasms
30825424,hsa-mir-939,Squamous Cell Carcinoma of Head and Neck
30863183,hsa-mir-939,Colorectal Neoplasms
35164480,hsa-mir-939,Inflammatory Bowel Diseases
36852302,hsa-mir-939,Colonic Neoplasms
32218824,hsa-mir-939,"Carcinoma, Hepatocellular"
31440033,hsa-mir-23b,Cartilage Diseases
31338869,hsa-mir-23b,Cataract
33986977,hsa-mir-23b,Pelizaeus-Merzbacher Disease
31440033,hsa-mir-23b,Synovitis
34595348,hsa-mir-23b,Nance-Horan syndrome
36609391,hsa-mir-23b,Esophageal Neoplasms
33723252,hsa-mir-23b,"Carcinoma, Hepatocellular"
36032150,hsa-mir-23b,Melanoma
36011286,hsa-mir-23b,"Carcinoma, Hepatocellular"
35810770,hsa-mir-23b,"Cataract, Age-Related"
34903122,hsa-mir-23b,Osteosarcoma
34632867,hsa-mir-23b,Osteosarcoma
33913242,hsa-mir-23b,Cholangiocarcinoma
33785336,hsa-mir-23b,Stomach Neoplasms
33210592,hsa-mir-23b,Uterine Cervical Neoplasms
31779647,hsa-mir-23b,Osteosarcoma
35756932,hsa-mir-23b,Cardiomyopathies
35756932,hsa-mir-23b,Sepsis
34630694,hsa-mir-23b,Osteoporosis
32913142,hsa-mir-23b,"Cataract, Age-Related"
31849497,hsa-mir-23b,"Carcinoma, Hepatocellular"
36096386,hsa-mir-23b,Glioma
35398468,hsa-mir-23b,Prostatic Neoplasms
34107580,hsa-mir-23b,"Carcinoma, Hepatocellular"
32633369,hsa-mir-23b,Lung Neoplasms
30815771,hsa-mir-23b,"Carcinoma, Hepatocellular"
30400755,hsa-mir-23b,"Prostatic Neoplasms, Castration-Resistant"
35304834,hsa-mir-23b,Cardiomyopathies
34663169,hsa-mir-23b,Spinal Cord Injuries
32766250,hsa-mir-23b,Sepsis
32766250,hsa-mir-23b,Lung Injury
35941331,hsa-mir-23b,Osteosarcoma
34671426,hsa-mir-23b,Colorectal Neoplasms
32934728,hsa-mir-23b,Pancreatic Neoplasms
32801774,hsa-mir-23b,Colorectal Neoplasms
33564997,hsa-mir-23b,Osteoporosis
36397699,hsa-mir-361,"Hyalinosis, Systemic"
31788970,hsa-mir-361,"Carcinoma, Non-Small-Cell Lung"
31486496,hsa-mir-361,Breast Neoplasms
36814152,hsa-mir-361,Alzheimer Disease
36699616,hsa-mir-361,"Carcinoma, Hepatocellular"
36590309,hsa-mir-361,Esophageal Neoplasms
35608340,hsa-mir-361,"Arthritis, Rheumatoid"
34369270,hsa-mir-361,"Carcinoma, Squamous Cell, Cutaneous"
34341185,hsa-mir-361,"Carcinoma, Hepatocellular"
34071592,hsa-mir-361,"Pulmonary Disease, Chronic Obstructive"
34071592,hsa-mir-361,Lung Neoplasms
33381597,hsa-mir-361,"Carcinoma, Hepatocellular"
32770454,hsa-mir-361,Glioblastoma
31888661,hsa-mir-361,Osteoarthritis
31696469,hsa-mir-361,"Carcinoma, Hepatocellular"
32774168,hsa-mir-361,Glioma
31938372,hsa-mir-361,"Carcinoma, Ovarian Epithelial"
32243981,hsa-mir-361,Triple Negative Breast Neoplasms
36732923,hsa-mir-361,Triple Negative Breast Neoplasms
36275636,hsa-mir-361,Colorectal Neoplasms
36245704,hsa-mir-361,Prostatic Neoplasms
34659511,hsa-mir-361,Pancreatic Neoplasms
33850546,hsa-mir-361,"Carcinoma, Hepatocellular"
33500694,hsa-mir-361,Ovarian Neoplasms
33364835,hsa-mir-361,Stomach Neoplasms
33299350,hsa-mir-361,Lymphoma
32760224,hsa-mir-361,Uterine Cervical Neoplasms
36120949,hsa-let-7f-1,Wounds and Injuries
36120949,hsa-let-7f-1,Autoimmune Lymphoproliferative Syndrome
31301310,hsa-let-7f-1,Autolysis
30454897,hsa-mir-124,Diabetes Mellitus
31190561,hsa-mir-124,Inflammation
36544854,hsa-mir-124,Inflammation
30454897,hsa-mir-124,Hyperglycemia
35117607,hsa-mir-124,Adenocarcinoma
35592615,hsa-mir-124,Incontinentia Pigmenti
33010604,hsa-mir-124,"Pneumonia, Mycoplasma"
35117607,hsa-mir-124,Bulimia Nervosa
34652636,hsa-mir-124,Neurogenic Inflammation
33754032,hsa-mir-124,Carcinoma
36758592,hsa-mir-124,Calcinosis
30454897,hsa-mir-124,Diabetic Angiopathies
34681723,hsa-mir-124,Polycystic Kidney Diseases
36743910,hsa-mir-124,Alzheimer Disease
36743910,hsa-mir-124,"Diabetes Mellitus, Type 2"
36140796,hsa-mir-124,Urinary Bladder Neoplasms
35922673,hsa-mir-124,"Rhinitis, Allergic"
35818227,hsa-mir-124,Sepsis
35761386,hsa-mir-124,Osteosarcoma
35441583,hsa-mir-124,Polycystic Ovary Syndrome
35269749,hsa-mir-124,Pancreatic Carcinoma
35094286,hsa-mir-124,Endometriosis
34962086,hsa-mir-124,Osteoporosis
34689806,hsa-mir-124,Glioma
33416105,hsa-mir-124,Ovarian Neoplasms
32744689,hsa-mir-124,Colorectal Neoplasms
32727645,hsa-mir-124,Glioma
32373959,hsa-mir-124,Stomach Neoplasms
32302289,hsa-mir-124,Osteoarthritis
32302289,hsa-mir-124,Inflammation
31957833,hsa-mir-124,Tongue Neoplasms
31904481,hsa-mir-124,Uterine Cervical Neoplasms
31651086,hsa-mir-124,"Carcinoma, Hepatocellular"
31466138,hsa-mir-124,"Carcinoma, Hepatocellular"
31216479,hsa-mir-124,Zika Virus Infection
31092334,hsa-mir-124,"Carcinoma, Hepatocellular"
30973678,hsa-mir-124,Glioma
30584150,hsa-mir-124,Alzheimer Disease
36243708,hsa-mir-124,Osteoarthritis
36243708,hsa-mir-124,Cartilage Diseases
35091534,hsa-mir-124,Sepsis
35091534,hsa-mir-124,Cardiomyopathies
35063752,hsa-mir-124,Acute Lung Injury
34421987,hsa-mir-124,"Thyroid Carcinoma, Anaplastic"
33324345,hsa-mir-124,Non-alcoholic Fatty Liver Disease
33223850,hsa-mir-124,Adenocarcinoma of Lung
32314724,hsa-mir-124,"Brain Injuries, Traumatic"
31737211,hsa-mir-124,Multiple Myeloma
30480744,hsa-mir-124,Diabetic Retinopathy
36027040,hsa-mir-124,"Ischemic Stroke, Diabetic"
35163214,hsa-mir-124,"Depressive Disorder, Major"
35023687,hsa-mir-124,Squamous Cell Carcinoma of Head and Neck
35013144,hsa-mir-124,"Carcinoma, Hepatocellular"
34686506,hsa-mir-124,Colonic Neoplasms
34572073,hsa-mir-124,Alzheimer Disease
34118141,hsa-mir-124,Cognition Disorders
34018092,hsa-mir-124,Esophageal Squamous Cell Carcinoma
34008270,hsa-mir-124,"Cataract, Age-Related"
33942299,hsa-mir-124,Inflammatory Bowel Diseases
33530155,hsa-mir-124,"Rhinitis, Allergic"
33345272,hsa-mir-124,Retinoblastoma
32640195,hsa-mir-124,Liver Neoplasms
32584497,hsa-mir-124,Thyroid Neoplasms
32492291,hsa-mir-124,Parkinson Disease
32432748,hsa-mir-124,Laryngeal Neoplasms
32370988,hsa-mir-124,Adenocarcinoma of Lung
32207045,hsa-mir-124,"Lymphoma, Large B-Cell, Diffuse"
31983112,hsa-mir-124,"Carcinoma, Hepatocellular"
31378908,hsa-mir-124,Cerebral Infarction
31228597,hsa-mir-124,Neuroblastoma
31131895,hsa-mir-124,Neurologic Manifestations
31128039,hsa-mir-124,Esophageal Squamous Cell Carcinoma
30714138,hsa-mir-124,"Interstitial Fibrosis, Renal"
36858024,hsa-mir-124,"Brain Injuries, Traumatic"
36858024,hsa-mir-124,Parkinson Disease
36752339,hsa-mir-124,Depression
35837070,hsa-mir-124,Diabetic Nephropathies
35837070,hsa-mir-124,Inflammation
35481944,hsa-mir-124,"Brain Injuries, Traumatic"
35184134,hsa-mir-124,Stomach Neoplasms
34793694,hsa-mir-124,Huntington Disease
34306199,hsa-mir-124,Glioma
34037971,hsa-mir-124,Myocardial Infarction
33869741,hsa-mir-124,Glioma
33516754,hsa-mir-124,"Arthritis, Rheumatoid"
32415942,hsa-mir-124,Epilepsy
32413396,hsa-mir-124,Spinal Cord Injuries
31743528,hsa-mir-124,Alzheimer Disease
31423280,hsa-mir-124,"Carcinoma, Non-Small-Cell Lung"
31186724,hsa-mir-124,Breast Neoplasms
31004734,hsa-mir-124,Ischemic Stroke
30906474,hsa-mir-124,"Reperfusion Injury, Cerebral Ischemia"
30584356,hsa-mir-124,"Carcinoma, Non-Small-Cell Lung"
31819494,hsa-mir-124,Melanoma
32110048,hsa-mir-124,Colorectal Neoplasms
33349155,hsa-mir-124,Stomach Neoplasms
32705173,hsa-mir-124,"Diabetes Mellitus, Type 2"
36915057,hsa-mir-124,Endometriosis
35502349,hsa-mir-124,Melanoma
35117640,hsa-mir-124,Colorectal Neoplasms
34513821,hsa-mir-124,Uterine Cervical Neoplasms
34395239,hsa-mir-124,Colorectal Neoplasms
33717268,hsa-mir-124,Breast Neoplasms
33482814,hsa-mir-124,Stomach Neoplasms
33330445,hsa-mir-124,Neuroblastoma
32368085,hsa-mir-124,Uterine Cervical Neoplasms
32330756,hsa-mir-124,Psoriasis
31100777,hsa-mir-27a,Hypoxia
31090110,hsa-mir-27a,Hypoxia
34898169,hsa-mir-27a,Breast Neoplasms
36288764,hsa-mir-27a,"Infertility, Female"
31891769,hsa-mir-27a,Polycystic Ovary Syndrome
36848245,hsa-mir-27a,Cholangiocarcinoma
33532936,hsa-mir-27a,Osteonecrosis
31562809,hsa-mir-27a,Insulin Resistance
32738556,hsa-mir-27a,Sepsis
31090110,hsa-mir-27a,Ischemia
36775436,hsa-mir-27a,Lung Injury
34722766,hsa-mir-27a,Familial Primary Pulmonary Hypertension
34239033,hsa-mir-27a,Lung Injury
34239033,hsa-mir-27a,Sepsis
34219538,hsa-mir-27a,Asthma
33856498,hsa-mir-27a,Pulmonary Arterial Hypertension
33629299,hsa-mir-27a,"Carcinoma, Renal Cell"
32190895,hsa-mir-27a,Ovarian Neoplasms
32067269,hsa-mir-27a,Thymoma
31710596,hsa-mir-27a,Epilepsy
31695809,hsa-mir-27a,Aortic Dissection
31415657,hsa-mir-27a,Graves Ophthalmopathy
31321444,hsa-mir-27a,Prostatic Neoplasms
31072914,hsa-mir-27a,Osteosarcoma
31020570,hsa-mir-27a,Esophageal Squamous Cell Carcinoma
36381675,hsa-mir-27a,Colonic Neoplasms
35786456,hsa-mir-27a,"Reperfusion Injury, Cerebral Ischemia"
35348441,hsa-mir-27a,Cardiomegaly
33850889,hsa-mir-27a,Pulmonary Fibrosis
33282723,hsa-mir-27a,"Carcinoma, Non-Small-Cell Lung"
32606599,hsa-mir-27a,Subarachnoid Hemorrhage
32497406,hsa-mir-27a,Osteomyelitis
32484208,hsa-mir-27a,Diabetic Nephropathies
32484208,hsa-mir-27a,"Fibrosis, Renal"
31985019,hsa-mir-27a,Reperfusion Injury
31410369,hsa-mir-27a,Ovarian Neoplasms
31106896,hsa-mir-27a,Pancreatitis
30826633,hsa-mir-27a,Urinary Bladder Neoplasms
36583660,hsa-mir-27a,"Thyroid Cancer, Papillary"
35840974,hsa-mir-27a,Esophageal Squamous Cell Carcinoma
35637630,hsa-mir-27a,"Carcinoma, Hepatocellular"
35039898,hsa-mir-27a,Glioblastoma
34071592,hsa-mir-27a,"Pulmonary Disease, Chronic Obstructive"
34071592,hsa-mir-27a,Lung Neoplasms
33875617,hsa-mir-27a,"Reperfusion Injury, Cerebral Ischemia"
33863546,hsa-mir-27a,Osteosarcoma
33025678,hsa-mir-27a,Uterine Cervical Neoplasms
32593682,hsa-mir-27a,"Carcinoma, Hepatocellular"
32593682,hsa-mir-27a,"Obesity, Maternal"
31398715,hsa-mir-27a,Periodontitis
36816363,hsa-mir-27a,Colorectal Neoplasms
36304947,hsa-mir-27a,Tuberculosis
35584745,hsa-mir-27a,"Reperfusion Injury, Cerebral Ischemia"
35584745,hsa-mir-27a,Inflammation
34248630,hsa-mir-27a,Cardiomegaly
33911865,hsa-mir-27a,"Reperfusion Injury, Cerebral Ischemia"
35367362,hsa-mir-27a,"Carcinoma, Non-Small-Cell Lung"
32706194,hsa-mir-27a,Brain Ischemia
31352437,hsa-mir-27a,Adrenocortical Adenoma
34073426,hsa-mir-27a,Colonic Neoplasms
35690612,hsa-mir-27a,Squamous Cell Carcinoma of Head and Neck
32764979,hsa-mir-27a,Breast Neoplasms
31836002,hsa-mir-142,Osteoarthritis
34554275,hsa-mir-142,Inflammation
31022596,hsa-mir-142,"Arthritis, Rheumatoid"
